Statistical profiling result from isolate-000001ADD98FF370-18092-v8.log, (67794 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     67    6.6%      LazyCompile: *parseChar C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:76:19
     30   44.8%        LazyCompile: *parseUntil C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:47:20
     29   96.7%          LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
     29  100.0%            LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      1    3.3%          Function: ^bracketExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:245:30
      1  100.0%            Function: ^attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
     26   38.8%        LazyCompile: *parse C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:28:15
     24   92.3%          LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
     24  100.0%            LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      2    7.7%          Function: ^assertNestingCorrect C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:100:33
      2  100.0%            Function: ^attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
     11   16.4%        LazyCompile: *attributeValue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1312:27
     11  100.0%          LazyCompile: *attribute C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1216:22
     10   90.9%            LazyCompile: *attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
      1    9.1%            Function: ^attrs C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1440:18
     52    5.1%      LazyCompile: *loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
     33   63.5%        Function: ^compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
     33  100.0%          Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
     33  100.0%            Function: ^handleTemplateCache C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:236:29
      9   17.3%        LazyCompile: *compileBody C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:77:21
      9  100.0%          Function: ^exports.compile C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:264:27
      9  100.0%            Function: ^handleTemplateCache C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug\lib\index.js:236:29
      8   15.4%        LazyCompile: *<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
